Generali,12374,BrandFinance,2008
Credit Suisse,12140,BrandFinance,2008
Nintendo,12123,BrandFinance,2008
Avon,11884,BrandFinance,2008
Tata Group,11792,BrandFinance,2008
BP,11784,BrandFinance,2008
Siemens,11742,BrandFinance,2008
IKEA,11610,BrandFinance,2008
Barclays,11582,BrandFinance,2008
UBS,11339,BrandFinance,2008
 CVS Health,11298,BrandFinance,2008
Comcast,11254,BrandFinance,2008
Gillette,10476,BrandFinance,2008
Heineken,10494,BrandFinance,2008
Hitachi Group,10338,BrandFinance,2008
ING (Group),10046,BrandFinance,2008
 Auchan,9996,BrandFinance,2008
Walgreens,9981,BrandFinance,2008
Suez,9725,BrandFinance,2008
PwC,9641,BrandFinance,2008
FedEx,9633,BrandFinance,2008
Kellogg's,9631,BrandFinance,2008
Amazon,9608,BrandFinance,2008
Oracle,9513,BrandFinance,2008
TIM,9434,BrandFinance,2008
Canon,9338,BrandFinance,2008
Chevron,9235,BrandFinance,2008
DHL,9123,BrandFinance,2008
JP Morgan,9064,BrandFinance,2008
Lowe's,9043,BrandFinance,2008
FOX,9013,BrandFinance,2008
T (Deutsche Telekom),8959,BrandFinance,2008
Sam's Club,8955,BrandFinance,2008
Philips,8853,BrandFinance,2008
Nissan,8808,BrandFinance,2008
Nestlé,8799,BrandFinance,2008
Stella Artois,8700,BrandFinance,2008
Wachovia Corp,8686,BrandFinance,2008
Deutsche Bank,8585,BrandFinance,2008
ICBC,8427,BrandFinance,2008
BBVA,8411,BrandFinance,2008
Motorola,8387,BrandFinance,2008
Nescafé,8322,BrandFinance,2008
Volkswagen,8210,BrandFinance,2008
Zurich,8079,BrandFinance,2008
Yahoo,8069,BrandFinance,2008
SAP,8021,BrandFinance,2008
Movistar,7949,BrandFinance,2008
Johnson & Johnson,7872,BrandFinance,2008
Walmart,40616,BrandFinance,2009
Coca-Cola,32728,BrandFinance,2009
IBM,31530,BrandFinance,2009
Microsoft,30882,BrandFinance,2009
Google,29261,BrandFinance,2009
GE,26654,BrandFinance,2009
HSBC,25364,BrandFinance,2009
Vodafone,24647,BrandFinance,2009
HP,23838,BrandFinance,2009
Toyota,21995,BrandFinance,2009
China Mobile,21748,BrandFinance,2009
Bank of America,21017,BrandFinance,2009
McDonald's,20003,BrandFinance,2009
Nokia,19889,BrandFinance,2009
AT&T,19850,BrandFinance,2009
Verizon,18854,BrandFinance,2009
Orange,16798,BrandFinance,2009
Disney,16750,BrandFinance,2009
Budweiser,16692,BrandFinance,2009
Tesco,16408,BrandFinance,2009
Pepsi,15034,BrandFinance,2009
Nike,14583,BrandFinance,2009
Wells Fargo,14508,BrandFinance,2009
The Home Depot,14310,BrandFinance,2009
Intel,13976,BrandFinance,2009
BMW,13659,BrandFinance,2009
Apple,13648,BrandFinance,2009
Samsung Group,13541,BrandFinance,2009
ExxonMobil,13360,BrandFinance,2009
ICBC,12411,BrandFinance,2009
Shell,12376,BrandFinance,2009
Target,12253,BrandFinance,2009
UPS,11873,BrandFinance,2009
TimeWarner,11817,BrandFinance,2009
China Construction Bank,11752,BrandFinance,2009
Bank of China,11638,BrandFinance,2009
Sony,11597,BrandFinance,2009
Honda,11461,BrandFinance,2009
Comcast,11383,BrandFinance,2009
L'Oréal,11234,BrandFinance,2009
BP,11229,BrandFinance,2009
Oracle,11106,BrandFinance,2009
GDF Suez,11016,BrandFinance,2009
Santander,10840,BrandFinance,2009
Cisco,10794,BrandFinance,2009
Heineken,10348,BrandFinance,2009
Volkswagen,10242,BrandFinance,2009
AXA,10213,BrandFinance,2009
Hitachi Group,10139,BrandFinance,2009
Sam's Club,10126,BrandFinance,2009
Chevron,9980,BrandFinance,2009
American Express,9944,BrandFinance,2009
Tata Group,9921,BrandFinance,2009
Mercedes-Benz,9844,BrandFinance,2009
Ford,9822,BrandFinance,2009
Citi,9810,BrandFinance,2009
Nintendo,9674,BrandFinance,2009
PwC,9458,BrandFinance,2009
BNP Paribas,9360,BrandFinance,2009
Walgreens,9219,BrandFinance,2009
Carrefour,9120,BrandFinance,2009
Nestlé,9038,BrandFinance,2009
Nescafé,8888,BrandFinance,2009
Chase,8746,BrandFinance,2009
Allianz,8224,BrandFinance,2009
Siemens,8209,BrandFinance,2009
Dell,8200,BrandFinance,2009
Lowe's,8173,BrandFinance,2009
JP Morgan,8072,BrandFinance,2009
 CVS Health,8040,BrandFinance,2009
Kellogg's,7857,BrandFinance,2009
T (Deutsche Telekom),7761,BrandFinance,2009
Nissan,7742,BrandFinance,2009
Novartis,7707,BrandFinance,2009
Bradesco,7698,BrandFinance,2009
Credit Suisse,7668,BrandFinance,2009
Barclays,7583,BrandFinance,2009
UBS,7568,BrandFinance,2009
Amazon,7466,BrandFinance,2009
Generali,7273,BrandFinance,2009
Benson and Hedges,7175,BrandFinance,2009
Movistar,7126,BrandFinance,2009
Deloitte,7076,BrandFinance,2009
Bayer,7014,BrandFinance,2009
TIM Brazil,7005,BrandFinance,2009
Avon,6962,BrandFinance,2009
China Telecom,6872,BrandFinance,2009
Toshiba,6804,BrandFinance,2009
Goldman Sachs,6753,BrandFinance,2009
7-Eleven,6743,BrandFinance,2009
Deutsche Bank,6702,BrandFinance,2009
BT,6649,BrandFinance,2009
Reliance Industries,6604,BrandFinance,2009
Gillette,6554,BrandFinance,2009
E.ON,6475,BrandFinance,2009
KPMG,6407,BrandFinance,2009
Sainsbury's,6369,BrandFinance,2009
FedEx,6344,BrandFinance,2009
Audi,6323,BrandFinance,2009
Chevrolet,6172,BrandFinance,2009
Walmart,41365,BrandFinance,2010
Google,36191,BrandFinance,2010
Coca-Cola,34844,BrandFinance,2010
IBM,33706,BrandFinance,2010
Microsoft,33604,BrandFinance,2010
GE,31909,BrandFinance,2010
Vodafone,28995,BrandFinance,2010
HSBC,28472,BrandFinance,2010
HP,27383,BrandFinance,2010
Toyota,27319,BrandFinance,2010
AT&T,26585,BrandFinance,2010
Bank of America,26047,BrandFinance,2010
Santander,25576,BrandFinance,2010
Verizon,23029,BrandFinance,2010
China Mobile,22620,BrandFinance,2010
Wells Fargo,21916,BrandFinance,2010
Budweiser,21279,BrandFinance,2010
Tesco,20654,BrandFinance,2010
McDonald's,20192,BrandFinance,2010
Apple,19829,BrandFinance,2010
Nokia,19558,BrandFinance,2010
The Home Depot,19013,BrandFinance,2010
Samsung Group,18925,BrandFinance,2010
Orange,18352,BrandFinance,2010
Mitsubishi (Conglomerate),17805,BrandFinance,2010
Shell,16997,BrandFinance,2010
ICBC,16948,BrandFinance,2010
Intel,16642,BrandFinance,2010
BMW,16616,BrandFinance,2010
AXA,16403,BrandFinance,2010
Pepsi,15991,BrandFinance,2010
Nike,15808,BrandFinance,2010
China Construction Bank,15501,BrandFinance,2010
Target,15224,BrandFinance,2010
Siemens,14709,BrandFinance,2010
Citi,14362,BrandFinance,2010
BNP Paribas,14060,BrandFinance,2010
Goldman Sachs,13887,BrandFinance,2010
Mercedes-Benz,13883,BrandFinance,2010
Disney,13436,BrandFinance,2010
Chase,13400,BrandFinance,2010
Christian Dior,13343,BrandFinance,2010
Amazon,13340,BrandFinance,2010
Bradesco,13299,BrandFinance,2010
UPS,13170,BrandFinance,2010
Barclays,13134,BrandFinance,2010
Honda,13083,BrandFinance,2010
GDF Suez,12878,BrandFinance,2010
Allianz,12836,BrandFinance,2010
Oracle,12775,BrandFinance,2010
American Express,12737,BrandFinance,2010
Bank of China,12718,BrandFinance,2010
Ford,12652,BrandFinance,2010
Sony,12648,BrandFinance,2010
BP,12114,BrandFinance,2010
Comcast,11979,BrandFinance,2010
JP Morgan,11732,BrandFinance,2010
Sberbank,11729,BrandFinance,2010
Cisco,11480,BrandFinance,2010
Volkswagen,11468,BrandFinance,2010
Chevron,11464,BrandFinance,2010
Agricultural Bank of China,11440,BrandFinance,2010
Heineken,11435,BrandFinance,2010
NTT Group,19434,BrandFinance,2010
Tata Group,11216,BrandFinance,2010
Nestlé,11178,BrandFinance,2010
China Life Insurance,11073,BrandFinance,2010
BBVA,10728,BrandFinance,2010
Nissan,10412,BrandFinance,2010
T (Deutsche Telekom),10126,BrandFinance,2010
Walgreens,9983,BrandFinance,2010
Avon,9917,BrandFinance,2010
PwC,9908,BrandFinance,2010
Deutsche Bank,9862,BrandFinance,2010
Lowe's,9784,BrandFinance,2010
Dell,9750,BrandFinance,2010
ExxonMobil,9683,BrandFinance,2010
Movistar,9666,BrandFinance,2010
Carrefour,9436,BrandFinance,2010
Sam's Club,9398,BrandFinance,2010
ASDA,9122,BrandFinance,2010
Hitachi Group,9095,BrandFinance,2010
Toshiba,8949,BrandFinance,2010
Generali,8868,BrandFinance,2010
TIM,8866,BrandFinance,2010
Johnson & Johnson,8715,BrandFinance,2010
BT,8685,BrandFinance,2010
Société Générale,8635,BrandFinance,2010
FedEx,8588,BrandFinance,2010
KPMG,8507,BrandFinance,2010
TimeWarner,8469,BrandFinance,2010
Credit Suisse,8430,BrandFinance,2010
Philips,8321,BrandFinance,2010
H&M,8298,BrandFinance,2010
UBS,8261,BrandFinance,2010
Telefonica,8154,BrandFinance,2010
Porsche,7994,BrandFinance,2010
Kellogg's,7982,BrandFinance,2010
EDF,7922,BrandFinance,2010
Morgan Stanley,7907,BrandFinance,2010
Google,44294,BrandFinance,2011
Microsoft,42805,BrandFinance,2011
Walmart,36220,BrandFinance,2011
IBM,36157,BrandFinance,2011
Vodafone,30674,BrandFinance,2011
Bank of America,30619,BrandFinance,2011
GE,30504,BrandFinance,2011
Apple,29543,BrandFinance,2011
Wells Fargo,28944,BrandFinance,2011
AT&T,28884,BrandFinance,2011
HSBC,27632,BrandFinance,2011
Verizon,27293,BrandFinance,2011
NTT Group,20139,BrandFinance,2011
HP,26756,BrandFinance,2011
Toyota,26152,BrandFinance,2011
Santander,26150,BrandFinance,2011
Coca-Cola,25807,BrandFinance,2011
McDonald's,21842,BrandFinance,2011
Samsung Group,21512,BrandFinance,2011
Tesco,21129,BrandFinance,2011
Mercedes-Benz,20798,BrandFinance,2011
Mitsubishi (Conglomerate),20473,BrandFinance,2011
The Home Depot,20423,BrandFinance,2011
BMW,20157,BrandFinance,2011
Pepsi,14363,BrandFinance,2011
China Mobile,19317,BrandFinance,2011
Chase,19150,BrandFinance,2011
Intel,19078,BrandFinance,2011
Bradesco,18678,BrandFinance,2011
Orange,18622,BrandFinance,2011
Shell,18605,BrandFinance,2011
Nike,18437,BrandFinance,2011
Amazon,17780,BrandFinance,2011
Nestlé,17455,BrandFinance,2011
Barclays,17358,BrandFinance,2011
ICBC,17194,BrandFinance,2011
Citi,17133,BrandFinance,2011
China Construction Bank,17092,BrandFinance,2011
UPS,17012,BrandFinance,2011
Siemens,16769,BrandFinance,2011
Ford,16662,BrandFinance,2011
Itaú,16655,BrandFinance,2011
BNP Paribas,16643,BrandFinance,2011
Honda,16356,BrandFinance,2011
Chevron,16265,BrandFinance,2011
Target,15989,BrandFinance,2011
American Express,15530,BrandFinance,2011
Disney,15424,BrandFinance,2011
Deutsche Bank,15169,BrandFinance,2011
AXA,15099,BrandFinance,2011
Tata Group,15087,BrandFinance,2011
Movistar,14935,BrandFinance,2011
IKEA,14676,BrandFinance,2011
Oracle,14602,BrandFinance,2011
Hitachi Group,14503,BrandFinance,2011
Marlboro,14219,BrandFinance,2011
ExxonMobil,13756,BrandFinance,2011
Nissan,13705,BrandFinance,2011
Credit Suisse,13497,BrandFinance,2011
Goldman Sachs,13406,BrandFinance,2011
Bank of China,13257,BrandFinance,2011
JP Morgan,13241,BrandFinance,2011
Sony,13194,BrandFinance,2011
GDF Suez,12902,BrandFinance,2011
Volkswagen,12704,BrandFinance,2011
Panasonic,12525,BrandFinance,2011
Sberbank,12012,BrandFinance,2011
Sam's Club,11952,BrandFinance,2011
Carrefour,11894,BrandFinance,2011
Comcast,11876,BrandFinance,2011
Total,11828,BrandFinance,2011
Walgreens,11707,BrandFinance,2011
Cisco,11667,BrandFinance,2011
T (Deutsche Telekom),11553,BrandFinance,2011
PwC,11445,BrandFinance,2011
Toshiba,11136,BrandFinance,2011
Olay,11066,BrandFinance,2011
Dell,10983,BrandFinance,2011
Allianz,10898,BrandFinance,2011
BBVA,10720,BrandFinance,2011
ASDA,10689,BrandFinance,2011
FedEx,10686,BrandFinance,2011
UnitedHealthcare,10606,BrandFinance,2011
3M,10532,BrandFinance,2011
E.ON,10513,BrandFinance,2011
Avon,10171,BrandFinance,2011
KPMG,10160,BrandFinance,2011
UBS,9915,BrandFinance,2011
H&M,9875,BrandFinance,2011
NTT Docomo,9801,BrandFinance,2011
DHL,9778,BrandFinance,2011
Lowe's,9751,BrandFinance,2011
EDF,9697,BrandFinance,2011
Nokia,9658,BrandFinance,2011
Banco do Brasil,9526,BrandFinance,2011
Generali,9487,BrandFinance,2011
Canon,9372,BrandFinance,2011
 CVS Health,9286,BrandFinance,2011
Agricultural Bank of China,9283,BrandFinance,2011
Boeing,9213,BrandFinance,2011
Apple,70605,BrandFinance,2012
Google,47463,BrandFinance,2012
Microsoft,45812,BrandFinance,2012
IBM,39135,BrandFinance,2012
Walmart,38320,BrandFinance,2012
Samsung Group,38197,BrandFinance,2012
GE,33214,BrandFinance,2012
Coca-Cola,31082,BrandFinance,2012
Vodafone,30044,BrandFinance,2012
Amazon,28665,BrandFinance,2012
AT&T,28379,BrandFinance,2012
Verizon,27616,BrandFinance,2012
HSBC,27597,BrandFinance,2012
NTT Group,22358,BrandFinance,2012
Toyota,24461,BrandFinance,2012
Wells Fargo,23229,BrandFinance,2012
Bank of America,19537,BrandFinance,2012
McDonald's,22230,BrandFinance,2012
Shell,22022,BrandFinance,2012
Intel,21908,BrandFinance,2012
HP,21707,BrandFinance,2012
BMW,21262,BrandFinance,2012
The Home Depot,20902,BrandFinance,2012
Tesco,20051,BrandFinance,2012
Santander,19969,BrandFinance,2012
Mercedes-Benz,19762,BrandFinance,2012
Mitsubishi (Conglomerate),19488,BrandFinance,2012
Chase,18964,BrandFinance,2012
Citi,18639,BrandFinance,2012
Nike,18619,BrandFinance,2012
Orange,18557,BrandFinance,2012
American Express,18231,BrandFinance,2012
UPS,18082,BrandFinance,2012
China Mobile,17919,BrandFinance,2012
Volkswagen,17758,BrandFinance,2012
Ford,17559,BrandFinance,2012
Chevron,17510,BrandFinance,2012
Pepsi,17096,BrandFinance,2012
Oracle,17031,BrandFinance,2012
BNP Paribas,16809,BrandFinance,2012
Nestlé,16661,BrandFinance,2012
GDF Suez,16598,BrandFinance,2012
ExxonMobil,16419,BrandFinance,2012
Hitachi Group,16391,BrandFinance,2012
Tata Group,16343,BrandFinance,2012
Siemens,16320,BrandFinance,2012
Bradesco,15692,BrandFinance,2012
China Construction Bank,15464,BrandFinance,2012
Mitsui Group,15405,BrandFinance,2012
Disney,15392,BrandFinance,2012
Target,15267,BrandFinance,2012
IKEA,15211,BrandFinance,2012
Marlboro,15171,BrandFinance,2012
ICBC,15164,BrandFinance,2012
Honda,14963,BrandFinance,2012
Movistar,14412,BrandFinance,2012
PwC,14296,BrandFinance,2012
Toshiba,14185,BrandFinance,2012
Nissan,14167,BrandFinance,2012
Barclays,13552,BrandFinance,2012
AXA,13406,BrandFinance,2012
Itaú,13171,BrandFinance,2012
Hyundai Group,16501,BrandFinance,2012
Total,12968,BrandFinance,2012
Deutsche Bank,12906,BrandFinance,2012
Cisco,12865,BrandFinance,2012
